Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания,К1 Завершено передач,К2 Завершено передач
09.07.2020 00:15,Брайтон,Ливерпуль,1,3,44.0,56.0,12.0,19.0,2.0,8.0,7.0,5.0,3.0,6.0,15.0,12.0,6.0,10.0,5.0,0.0,5.0,1.0,7.0,15.0,1.0,4.0,374.0,472.0,12.0,11.0,87.0,112.0,40.0,74.0,,,,,,
08.07.2020 22:00,Вест Хэм,Бёрнли,0,1,53.0,47.0,21.0,8.0,5.0,4.0,7.0,3.0,9.0,1.0,12.0,7.0,10.0,3.0,0.0,5.0,3.0,5.0,7.0,7.0,1.0,1.0,427.0,395.0,17.0,17.0,117.0,100.0,80.0,41.0,,,,,,
08.07.2020 22:00,Манчестер Сити,Ньюкасл Юнайтед,5,0,74.0,26.0,23.0,6.0,9.0,1.0,6.0,0.0,8.0,5.0,7.0,15.0,8.0,1.0,2.0,0.0,1.0,4.0,13.0,7.0,,,843.0,296.0,5.0,16.0,156.0,61.0,87.0,18.0,,,,,,
08.07.2020 22:00,Шеффилд Юнайтед,Вулверхэмптон,1,0,43.0,57.0,7.0,6.0,3.0,1.0,3.0,5.0,1.0,0.0,6.0,8.0,6.0,1.0,3.0,0.0,1.0,2.0,5.0,6.0,2.0,0.0,381.0,542.0,16.0,13.0,136.0,120.0,77.0,39.0,,,,,,
08.07.2020 00:15,Арсенал,Лестер,1,1,38.0,62.0,11.0,14.0,7.0,6.0,2.0,7.0,2.0,1.0,15.0,14.0,10.0,1.0,4.0,1.0,5.0,6.0,10.0,14.0,1.0,0.0,325.0,557.0,6.0,16.0,99.0,111.0,50.0,40.0,1.0,0.0,,,,
07.07.2020 22:00,Кристал Пэлас,Челси,2,3,42.0,58.0,13.0,14.0,4.0,6.0,4.0,6.0,5.0,2.0,10.0,12.0,7.0,9.0,1.0,0.0,3.0,2.0,11.0,10.0,1.0,0.0,374.0,532.0,19.0,20.0,118.0,120.0,65.0,48.0,,,,,,
07.07.2020 22:00,Уотфорд,Норвич,2,1,43.0,57.0,9.0,12.0,4.0,3.0,5.0,6.0,0.0,3.0,15.0,11.0,4.0,3.0,0.0,0.0,2.0,2.0,11.0,15.0,2.0,4.0,370.0,500.0,20.0,18.0,109.0,108.0,58.0,52.0,,,,,,
07.07.2020 00:00,Тоттенхэм,Эвертон,1,0,51.0,49.0,12.0,11.0,2.0,3.0,6.0,4.0,4.0,4.0,20.0,16.0,5.0,6.0,2.0,2.0,3.0,1.0,14.0,18.0,3.0,2.0,448.0,413.0,13.0,10.0,113.0,94.0,44.0,31.0,,,,,,
05.07.2020 23:00,Саутгемптон,Манчестер Сити,1,0,26.0,74.0,8.0,26.0,4.0,6.0,3.0,9.0,1.0,11.0,10.0,9.0,2.0,13.0,3.0,3.0,6.0,3.0,6.0,7.0,1.0,2.0,297.0,808.0,20.0,16.0,90.0,164.0,18.0,116.0,,,,,,
05.07.2020 20:30,Ливерпуль,Астон Вилла,2,0,71.0,29.0,6.0,9.0,4.0,3.0,1.0,4.0,1.0,2.0,13.0,20.0,7.0,5.0,1.0,5.0,3.0,2.0,18.0,8.0,1.0,1.0,672.0,263.0,7.0,8.0,154.0,74.0,61.0,30.0,,,,,,
