Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Вбрасывания,К2 Вбрасывания,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
01.05.2022 20:30,Вест Хэм,Арсенал,1,2,56.0,44.0,8.0,13.0,3.0,7.0,1.0,4.0,4.0,2.0,9.0,8.0,3.0,7.0,1.0,0.0,23.0,12.0,5.0,2.0,8.0,9.0,2.0,2.0,586.0,454.0,495.0,372.0,11.0,16.0,106.0,101.0,62.0,31.0,,
01.05.2022 18:00,Тоттенхэм,Лестер,3,1,39.0,61.0,13.0,6.0,7.0,2.0,4.0,3.0,2.0,1.0,8.0,14.0,6.0,3.0,2.0,0.0,16.0,19.0,1.0,4.0,13.0,8.0,2.0,3.0,404.0,627.0,313.0,540.0,20.0,16.0,95.0,140.0,52.0,45.0,,
01.05.2022 18:00,Эвертон,Челси,1,0,22.0,78.0,9.0,17.0,4.0,5.0,4.0,7.0,1.0,5.0,10.0,6.0,3.0,8.0,0.0,2.0,20.0,15.0,5.0,3.0,9.0,12.0,3.0,5.0,197.0,720.0,114.0,631.0,13.0,18.0,62.0,112.0,47.0,73.0,,
30.04.2022 21:30,Лидс,Манчестер Сити,0,4,41.0,59.0,7.0,19.0,2.0,6.0,1.0,6.0,4.0,7.0,4.0,15.0,3.0,6.0,3.0,1.0,25.0,20.0,2.0,2.0,13.0,3.0,1.0,2.0,421.0,617.0,329.0,547.0,29.0,9.0,63.0,147.0,30.0,66.0,,
30.04.2022 19:00,Астон Вилла,Норвич,2,0,45.0,55.0,21.0,9.0,6.0,3.0,8.0,6.0,7.0,0.0,8.0,19.0,2.0,3.0,3.0,0.0,25.0,32.0,3.0,4.0,16.0,8.0,4.0,1.0,398.0,491.0,307.0,378.0,26.0,12.0,109.0,89.0,39.0,35.0,,
30.04.2022 19:00,Вулверхэмптон,Брайтон,0,3,49.0,51.0,11.0,17.0,1.0,9.0,5.0,4.0,5.0,4.0,4.0,5.0,7.0,3.0,1.0,1.0,15.0,20.0,6.0,1.0,6.0,4.0,2.0,1.0,458.0,479.0,361.0,382.0,19.0,22.0,85.0,116.0,34.0,52.0,,
30.04.2022 19:00,Саутгемптон,Кристал Пэлас,1,2,39.0,61.0,8.0,14.0,3.0,5.0,3.0,3.0,2.0,6.0,13.0,14.0,6.0,7.0,0.0,4.0,16.0,25.0,3.0,2.0,13.0,11.0,1.0,3.0,326.0,529.0,217.0,424.0,23.0,8.0,119.0,109.0,31.0,49.0,,
30.04.2022 19:00,Уотфорд,Бёрнли,1,2,47.0,53.0,13.0,17.0,1.0,6.0,9.0,5.0,3.0,6.0,6.0,12.0,5.0,6.0,1.0,0.0,29.0,27.0,4.0,1.0,13.0,9.0,1.0,2.0,334.0,396.0,213.0,263.0,16.0,16.0,106.0,117.0,52.0,61.0,,
30.04.2022 16:30,Ньюкасл Юнайтед,Ливерпуль,0,1,34.0,66.0,4.0,24.0,2.0,10.0,1.0,10.0,1.0,4.0,10.0,18.0,0.0,6.0,9.0,1.0,27.0,16.0,9.0,2.0,11.0,11.0,1.0,3.0,274.0,528.0,177.0,434.0,19.0,15.0,101.0,106.0,32.0,45.0,,
28.04.2022 23:45,Манчестер Юнайтед,Челси,1,1,35.0,65.0,6.0,21.0,3.0,6.0,1.0,9.0,2.0,6.0,15.0,10.0,2.0,9.0,2.0,3.0,16.0,21.0,5.0,2.0,9.0,12.0,0.0,1.0,345.0,628.0,272.0,556.0,16.0,12.0,57.0,127.0,24.0,76.0,,
26.04.2022 00:00,Кристал Пэлас,Лидс,0,0,53.0,47.0,17.0,9.0,7.0,2.0,6.0,4.0,4.0,3.0,10.0,13.0,6.0,3.0,1.0,1.0,31.0,26.0,2.0,7.0,12.0,13.0,2.0,2.0,432.0,392.0,324.0,266.0,13.0,29.0,124.0,100.0,64.0,30.0,,
24.04.2022 20:30,Ливерпуль,Эвертон,2,0,83.0,17.0,18.0,9.0,4.0,1.0,11.0,4.0,3.0,4.0,8.0,8.0,13.0,1.0,1.0,0.0,29.0,15.0,1.0,2.0,8.0,8.0,2.0,5.0,787.0,173.0,700.0,95.0,15.0,20.0,170.0,53.0,89.0,30.0,,
24.04.2022 18:00,Бёрнли,Вулверхэмптон,1,0,36.0,64.0,14.0,10.0,5.0,4.0,5.0,1.0,4.0,5.0,10.0,11.0,3.0,6.0,5.0,2.0,14.0,26.0,4.0,4.0,8.0,7.0,3.0,1.0,324.0,590.0,240.0,488.0,20.0,28.0,88.0,135.0,32.0,43.0,,
24.04.2022 18:00,Брайтон,Саутгемптон,2,2,49.0,51.0,8.0,18.0,5.0,5.0,0.0,6.0,3.0,7.0,10.0,12.0,6.0,6.0,2.0,3.0,21.0,33.0,3.0,3.0,12.0,7.0,1.0,0.0,352.0,366.0,229.0,258.0,17.0,13.0,102.0,103.0,57.0,54.0,,
24.04.2022 18:00,Челси,Вест Хэм,1,0,67.0,33.0,26.0,6.0,5.0,2.0,9.0,2.0,12.0,2.0,10.0,12.0,3.0,1.0,2.0,2.0,16.0,17.0,2.0,4.0,11.0,9.0,1.0,0.0,710.0,354.0,604.0,253.0,11.0,14.0,145.0,71.0,92.0,36.0,0.0,1.0
23.04.2022 21:30,Брентфорд,Тоттенхэм,0,0,44.0,56.0,15.0,9.0,2.0,0.0,6.0,4.0,7.0,5.0,7.0,7.0,12.0,8.0,1.0,1.0,19.0,19.0,0.0,2.0,8.0,7.0,2.0,1.0,393.0,508.0,297.0,431.0,12.0,11.0,94.0,100.0,50.0,56.0,,
