Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Красные карточки,К2 Красные карточки,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Вбрасывания,К2 Вбрасывания,К1 Точность передач,К2 Точность передач
18.03.2017 20:00,Сандерленд,Бёрнли,0,0,42,58,14,17,5,3,7,8,2,6,8,14,3,5,0,1,3,5,14,7,,,3.0,1.0,287.0,380.0,15.0,9.0,,,,
18.03.2017 20:00,Сток Сити,Челси,1,2,36,64,5,20,1,7,2,5,2,8,11,18,5,11,3,2,5,0,16,11,1.0,0.0,6.0,2.0,290.0,522.0,21.0,23.0,,,,
18.03.2017 20:00,Эвертон,Халл,4,0,51,49,16,6,8,0,4,4,4,2,9,12,5,8,4,0,0,4,9,7,0.0,1.0,2.0,0.0,454.0,426.0,19.0,23.0,,,,
18.03.2017 17:30,Вест Бромвич,Арсенал,3,1,23,77,12,11,8,2,3,4,1,5,7,7,4,5,2,1,1,5,5,6,,,1.0,0.0,219.0,750.0,14.0,10.0,,,,
12.03.2017 21:00,Ливерпуль,Бёрнли,2,1,64,36,10,11,3,1,2,8,5,2,19,15,11,1,3,3,0,1,12,16,,,2.0,2.0,558.0,309.0,6.0,26.0,,,,
11.03.2017 20:00,Борнмут,Вест Хэм,3,2,51,49,21,15,9,7,8,4,4,4,13,20,5,6,0,0,5,6,20,15,,,4.0,2.0,358.0,340.0,18.0,13.0,,,,
11.03.2017 20:00,Халл,Суонси,2,1,50,50,15,11,7,3,3,5,5,3,8,21,2,7,7,3,2,5,14,5,,,3.0,1.0,376.0,377.0,13.0,14.0,,,,
11.03.2017 20:00,Эвертон,Вест Бромвич,3,0,63,37,16,5,5,2,6,1,5,2,12,8,4,6,0,0,2,2,8,12,,,1.0,2.0,605.0,352.0,11.0,20.0,,,,
09.03.2017 01:00,Манчестер Сити,Сток Сити,0,0,65,35,12,5,1,2,7,2,4,1,12,9,8,1,1,1,2,1,8,11,,,1.0,3.0,621.0,331.0,21.0,20.0,,,,
07.03.2017 01:00,Вест Хэм,Челси,1,2,52,48,11,9,2,4,6,3,3,2,9,9,6,4,1,1,2,1,8,8,,,0.0,1.0,554.0,530.0,18.0,15.0,,,,
05.03.2017 21:00,Сандерленд,Манчестер Сити,0,2,29,71,11,14,3,7,5,5,3,2,7,16,6,4,4,3,5,3,11,4,,,1.0,0.0,287.0,718.0,25.0,15.0,,,,
05.03.2017 18:30,Тоттенхэм,Эвертон,3,2,51,49,20,8,7,4,5,1,8,3,18,11,7,2,2,4,2,4,9,14,,,1.0,2.0,462.0,440.0,15.0,22.0,,,,
04.03.2017 22:30,Ливерпуль,Арсенал,3,1,52,48,18,7,7,3,5,2,6,2,19,13,9,3,5,3,2,4,7,15,,,1.0,2.0,456.0,405.0,16.0,15.0,,,,
04.03.2017 20:00,Вест Бромвич,Кристал Пэлас,0,2,51,49,11,10,1,4,5,2,5,4,13,7,5,5,0,0,2,1,8,12,,,0.0,1.0,370.0,341.0,13.0,21.0,,,,
04.03.2017 20:00,Лестер,Халл,3,1,50,50,17,10,5,4,9,5,3,1,13,12,10,4,1,0,3,2,12,13,,,1.0,1.0,396.0,410.0,22.0,16.0,,,,
04.03.2017 20:00,Сток Сити,Мидлсбро,2,0,55,45,13,8,8,2,5,3,0,3,23,16,6,1,1,4,2,6,16,20,,,1.0,2.0,435.0,369.0,16.0,23.0,,,,
04.03.2017 20:00,Суонси,Бёрнли,3,2,71,29,24,6,9,4,11,2,4,0,14,8,9,2,1,1,2,6,7,13,,,2.0,2.0,580.0,248.0,8.0,27.0,,,,
04.03.2017 20:00,Уотфорд,Саутгемптон,3,4,38,62,16,20,4,11,7,4,5,5,11,18,6,5,2,2,7,1,16,9,,,3.0,2.0,258.0,446.0,22.0,12.0,,,,
