Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания
10.03.2018 22:30,Челси,Кристал Пэлас,2,1,62,38,27,9,11,2,9,5,7,2,11,10,12,3,2,2,1,9,8,9,591,358,17,18,97.0,80.0,80.0,48.0,1.0,2.0,,,,
10.03.2018 20:00,Вест Бромвич,Лестер,1,4,44,56,6,14,2,6,3,5,1,3,9,7,7,6,1,2,2,1,6,7,364,472,18,17,116.0,124.0,74.0,88.0,1.0,3.0,,,,
10.03.2018 20:00,Вест Хэм,Бёрнли,0,3,53,47,13,7,4,4,6,2,3,1,9,15,5,1,1,3,1,4,13,7,393,361,11,9,155.0,133.0,94.0,70.0,2.0,2.0,,,,
10.03.2018 20:00,Ньюкасл Юнайтед,Саутгемптон,3,0,37,63,7,6,5,2,2,3,0,1,11,10,2,6,1,1,2,2,10,10,305,509,15,14,84.0,109.0,61.0,91.0,0.0,2.0,,,,
10.03.2018 20:00,Хаддерсфилд,Суонси,0,0,81,19,30,0,4,0,15,0,11,0,12,11,12,0,2,3,0,4,9,9,682,174,10,16,120.0,56.0,131.0,25.0,2.0,3.0,0.0,1.0,,
10.03.2018 20:00,Эвертон,Брайтон,2,0,59,41,13,10,3,4,7,5,3,1,14,12,10,3,2,1,4,1,10,14,422,302,10,14,103.0,74.0,74.0,33.0,0.0,1.0,0.0,1.0,,
10.03.2018 17:30,Манчестер Юнайтед,Ливерпуль,2,1,32,68,5,14,2,2,1,5,2,7,16,13,1,13,3,0,2,0,10,16,281,585,22,16,76.0,119.0,28.0,71.0,2.0,1.0,,,,
06.03.2018 01:00,Кристал Пэлас,Манчестер Юнайтед,2,3,31,69,10,17,4,8,5,3,1,6,10,12,3,7,2,2,5,2,10,8,278,654,19,9,97.0,127.0,55.0,84.0,1.0,3.0,,,,
04.03.2018 21:00,Манчестер Сити,Челси,1,0,71,29,13,3,3,0,5,3,5,0,10,10,5,2,2,1,0,2,8,9,976,392,11,11,133.0,62.0,65.0,23.0,2.0,1.0,,,,
04.03.2018 18:30,Брайтон,Арсенал,2,1,32,68,13,15,6,7,5,2,2,6,13,19,6,11,6,0,6,4,13,12,287,614,20,10,89.0,97.0,54.0,67.0,3.0,3.0,,,,
03.03.2018 22:30,Ливерпуль,Ньюкасл Юнайтед,2,0,71,29,14,7,3,2,3,2,8,3,10,12,8,3,4,1,2,1,7,9,772,315,26,12,184.0,94.0,85.0,37.0,,,,,,
03.03.2018 20:00,Лестер,Борнмут,1,1,56,44,21,9,4,3,7,5,10,1,8,13,13,1,3,1,2,3,11,7,436,363,22,11,142.0,134.0,108.0,85.0,2.0,1.0,,,,
03.03.2018 20:00,Саутгемптон,Сток Сити,0,0,65,35,18,12,6,3,5,9,7,0,14,10,15,4,2,2,3,6,8,13,423,240,18,13,92.0,70.0,102.0,56.0,0.0,1.0,,,,
03.03.2018 20:00,Суонси,Вест Хэм,4,1,45,55,9,7,8,2,1,1,0,4,19,9,4,5,0,5,1,4,9,14,435,519,16,19,99.0,85.0,25.0,31.0,0.0,3.0,,,,
03.03.2018 20:00,Тоттенхэм,Хаддерсфилд,2,0,75,25,15,3,7,3,3,0,5,0,10,10,8,1,4,2,3,5,6,8,808,268,11,28,164.0,92.0,80.0,38.0,1.0,1.0,,,,
03.03.2018 20:00,Уотфорд,Вест Бромвич,1,0,53,47,15,9,4,2,6,5,5,2,13,14,4,6,3,1,2,3,11,12,408,353,10,17,114.0,92.0,73.0,74.0,2.0,0.0,,,,
03.03.2018 17:30,Бёрнли,Эвертон,2,1,55,45,21,10,8,4,3,6,10,0,14,13,10,4,4,1,3,6,9,12,395,340,15,10,129.0,126.0,75.0,43.0,1.0,1.0,0.0,1.0,,
02.03.2018 00:45,Арсенал,Манчестер Сити,0,3,46,54,10,9,5,5,2,1,3,3,11,11,6,1,0,1,2,5,11,11,538,651,25,12,149.0,130.0,78.0,49.0,1.0,1.0,,,,
25.02.2018 19:05,Манчестер Юнайтед,Челси,2,1,44,56,10,14,5,7,1,4,4,3,18,15,3,4,1,6,6,3,13,12,433,552,20,18,97.0,93.0,57.0,50.0,2.0,2.0,,,,
25.02.2018 17:00,Кристал Пэлас,Тоттенхэм,0,1,24,76,5,14,3,4,1,6,1,4,6,12,3,13,0,1,3,3,12,5,204,661,28,15,60.0,119.0,30.0,81.0,0.0,1.0,,,,
24.02.2018 22:30,Уотфорд,Эвертон,1,0,54,46,13,7,5,2,4,4,4,1,10,10,6,5,0,1,2,4,10,9,430,350,19,25,104.0,87.0,58.0,48.0,3.0,1.0,,,,
24.02.2018 20:00,Бёрнли,Саутгемптон,1,1,50,50,9,13,3,6,3,3,3,4,14,9,7,5,1,0,5,2,8,14,370,379,8,24,105.0,99.0,59.0,48.0,1.0,0.0,,,,
24.02.2018 20:00,Борнмут,Ньюкасл Юнайтед,2,2,64,36,18,15,5,4,8,6,5,5,14,12,8,1,0,4,2,3,12,10,556,337,15,17,147.0,127.0,105.0,64.0,1.0,4.0,,,,
24.02.2018 20:00,Брайтон,Суонси,4,1,48,52,16,11,5,1,9,6,2,4,5,21,3,5,3,0,0,1,17,6,406,434,24,18,70.0,85.0,51.0,69.0,1.0,0.0,,,,
24.02.2018 20:00,Вест Бромвич,Хаддерсфилд,1,2,53,47,10,16,3,7,5,4,2,5,14,18,6,3,7,5,5,2,11,9,403,358,15,27,100.0,104.0,83.0,71.0,1.0,1.0,,,,
24.02.2018 20:00,Ливерпуль,Вест Хэм,4,1,68,32,21,7,12,4,7,2,2,1,9,8,8,2,1,2,3,8,7,7,711,339,27,18,161.0,107.0,95.0,43.0,0.0,2.0,,,,
24.02.2018 17:30,Лестер,Сток Сити,1,1,66,34,19,6,9,2,8,2,2,2,19,10,13,1,0,2,1,8,10,16,488,263,19,17,88.0,95.0,63.0,36.0,1.0,3.0,,,,
13.02.2018 01:00,Челси,Вест Бромвич,3,0,57,43,20,8,8,1,6,7,6,0,14,12,8,7,1,3,1,5,11,11,585,428,21,12,90.0,85.0,52.0,44.0,0.0,2.0,,,,
11.02.2018 21:30,Саутгемптон,Ливерпуль,0,2,52,48,6,16,4,4,2,8,0,4,9,10,3,1,5,0,2,4,5,8,543,510,16,16,114.0,87.0,41.0,43.0,1.0,2.0,,,,
11.02.2018 19:15,Ньюкасл Юнайтед,Манчестер Юнайтед,1,0,36,64,10,13,3,6,5,3,2,4,16,15,0,10,2,2,6,2,12,15,361,630,19,12,89.0,113.0,35.0,67.0,0.0,2.0,,,,
11.02.2018 17:00,Хаддерсфилд,Борнмут,4,1,51,49,14,7,4,2,4,2,6,3,16,15,2,6,3,5,1,1,12,12,436,411,21,18,102.0,100.0,49.0,41.0,0.0,3.0,,,,
10.02.2018 22:30,Манчестер Сити,Лестер,5,1,70,30,19,2,11,2,6,0,2,0,14,10,8,2,1,2,1,6,10,12,708,292,10,18,108.0,63.0,79.0,20.0,2.0,3.0,,,,
10.02.2018 20:00,Вест Хэм,Уотфорд,2,0,36,64,8,11,4,4,2,3,2,4,8,14,8,7,3,1,4,2,11,7,244,443,20,17,71.0,91.0,40.0,61.0,1.0,1.0,,,,
10.02.2018 20:00,Сток Сити,Брайтон,1,1,57,43,15,14,3,6,6,7,6,1,12,7,7,4,2,3,5,2,6,10,465,361,11,28,182.0,121.0,111.0,70.0,,,,,,
