Дата,Команда 1,Команда 2,К1 Счет,К2 Счет
19.10.2022 00:15,Кристал Пэлас,Вулверхэмптон,2,1
18.10.2022 23:30,Брайтон,Ноттингем Форест,0,0
16.10.2022 20:30,Ливерпуль,Манчестер Сити,1,0
16.10.2022 18:00,Астон Вилла,Челси,0,2
16.10.2022 18:00,Лидс,Арсенал,0,1
16.10.2022 18:00,Манчестер Юнайтед,Ньюкасл Юнайтед,0,0
16.10.2022 18:00,Саутгемптон,Вест Хэм,1,1
15.10.2022 21:30,Тоттенхэм,Эвертон,2,0
15.10.2022 19:00,Вулверхэмптон,Ноттингем Форест,1,0
15.10.2022 19:00,Фулхэм,Борнмут,2,2
15.10.2022 16:30,Лестер,Кристал Пэлас,0,0
15.10.2022 00:00,Брентфорд,Брайтон,2,0
11.10.2022 00:00,Ноттингем Форест,Астон Вилла,1,1
09.10.2022 23:00,Эвертон,Манчестер Юнайтед,1,2
09.10.2022 20:30,Арсенал,Ливерпуль,3,2
09.10.2022 18:00,Вест Хэм,Фулхэм,3,1
09.10.2022 18:00,Кристал Пэлас,Лидс,2,1
08.10.2022 21:30,Брайтон,Тоттенхэм,0,1
08.10.2022 19:00,Борнмут,Лестер,2,1
08.10.2022 19:00,Манчестер Сити,Саутгемптон,4,0
08.10.2022 19:00,Ньюкасл Юнайтед,Брентфорд,5,1
08.10.2022 19:00,Челси,Вулверхэмптон,3,0
04.10.2022 00:00,Лестер,Ноттингем Форест,4,0
02.10.2022 20:30,Лидс,Астон Вилла,0,0
02.10.2022 18:00,Манчестер Сити,Манчестер Юнайтед,6,3
01.10.2022 21:30,Вест Хэм,Вулверхэмптон,2,0
01.10.2022 19:00,Борнмут,Брентфорд,0,0
01.10.2022 19:00,Кристал Пэлас,Челси,1,2
01.10.2022 19:00,Ливерпуль,Брайтон,3,3
01.10.2022 19:00,Саутгемптон,Эвертон,1,2
01.10.2022 19:00,Фулхэм,Ньюкасл Юнайтед,1,4
01.10.2022 16:30,Арсенал,Тоттенхэм,3,1
18.09.2022 18:15,Эвертон,Вест Хэм,1,0
18.09.2022 16:00,Брентфорд,Арсенал,0,3
17.09.2022 21:30,Тоттенхэм,Лестер,6,2
17.09.2022 19:00,Ньюкасл Юнайтед,Борнмут,1,1
17.09.2022 16:30,Вулверхэмптон,Манчестер Сити,0,3
17.09.2022 00:00,Астон Вилла,Саутгемптон,1,0
17.09.2022 00:00,Ноттингем Форест,Фулхэм,2,3
04.09.2022 20:30,Манчестер Юнайтед,Арсенал,3,1
04.09.2022 18:00,Брайтон,Лестер,5,2
03.09.2022 21:30,Астон Вилла,Манчестер Сити,1,1
03.09.2022 19:00,Брентфорд,Лидс,5,2
03.09.2022 19:00,Вулверхэмптон,Саутгемптон,1,0
03.09.2022 19:00,Ноттингем Форест,Борнмут,2,3
