Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Всего передач,К2 Всего передач,К1 Вбрасывания,К2 Вбрасывания
19.03.2016 20:00,Уотфорд,Сток Сити,1,2,52,48,9,9,4,6,4,2,1,1,18.0,12.0,9,2,2,4,4,3,10,14,3.0,1.0,,,,,,
19.03.2016 20:00,Челси,Вест Хэм,2,2,59,41,22,12,5,5,11,3,6,4,15.0,17.0,10,9,1,2,3,3,13,14,3.0,5.0,,,,,,
19.03.2016 17:45,Эвертон,Арсенал,0,2,54,46,8,11,2,3,5,4,1,4,13.0,7.0,7,5,1,3,1,2,7,10,,,,,,,,
15.03.2016 01:00,Лестер,Ньюкасл Юнайтед,1,0,50,50,10,13,1,2,3,6,6,5,10.0,4.0,8,4,0,1,2,0,4,9,,,,,,,,
13.03.2016 21:00,Астон Вилла,Тоттенхэм,0,2,38,62,11,19,2,8,5,6,4,5,9.0,9.0,5,8,3,2,6,2,6,6,,,,,,,,
12.03.2016 20:00,Борнмут,Суонси,3,2,44,56,12,12,4,4,6,6,2,2,12.0,14.0,5,3,1,1,2,1,12,11,1.0,0.0,,,,,,
12.03.2016 20:00,Сток Сити,Саутгемптон,1,2,61,39,13,11,2,4,7,5,4,2,13.0,13.0,1,4,0,1,2,1,13,12,1.0,2.0,0.0,1.0,,,,
12.03.2016 17:45,Норвич,Манчестер Сити,0,0,34,66,5,15,0,3,4,5,1,7,11.0,18.0,3,8,2,1,3,0,15,10,3.0,1.0,,,,,,
06.03.2016 21:00,Вест Бромвич,Манчестер Юнайтед,1,0,47,53,9,7,2,1,3,2,4,4,8.0,13.0,4,5,5,1,1,1,8,7,1.0,2.0,0.0,1.0,,,,
06.03.2016 18:30,Кристал Пэлас,Ливерпуль,1,2,38,62,14,19,4,5,6,6,4,8,18.0,14.0,6,6,3,2,3,3,12,16,1.0,4.0,0.0,1.0,,,,
05.03.2016 22:30,Уотфорд,Лестер,0,1,50,50,11,13,4,6,4,7,3,0,12.0,12.0,3,8,2,1,5,4,10,11,2.0,2.0,,,,,,
05.03.2016 20:00,Манчестер Сити,Астон Вилла,4,0,71,29,22,2,9,1,10,0,3,1,9.0,12.0,9,1,2,0,1,5,10,10,0.0,1.0,,,,,,
